Names,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma,SpectralContrast,Tonnetz,ZeroCrossingRate,RMSEnergy,LogMelFilterbank_1,LogMelFilterbank_2,LogMelFilterbank_3,LogMelFilterbank_4,LogMelFilterbank_5,LogMelFilterbank_6,LogMelFilterbank_7,LogMelFilterbank_8,LogMelFilterbank_9,LogMelFilterbank_10,LogMelFilterbank_11,LogMelFilterbank_12,LogMelFilterbank_13,LogMelFilterbank_14,LogMelFilterbank_15,LogMelFilterbank_16,LogMelFilterbank_17,LogMelFilterbank_18,LogMelFilterbank_19,LogMelFilterbank_20,LogMelFilterbank_21,LogMelFilterbank_22,LogMelFilterbank_23,LogMelFilterbank_24,LogMelFilterbank_25,LogMelFilterbank_26,LogMelFilterbank_27,LogMelFilterbank_28,LogMelFilterbank_29,LogMelFilterbank_30,RASTA-PLP
Arunanshu,-319.56475830078125,150.80352783203125,24.952627182006836,-6.529086112976074,-0.7087158560752869,-11.49558162689209,-17.504798889160156,-15.35722827911377,-14.39454460144043,-11.421614646911621,-10.563241004943848,-14.796903610229492,-15.761222839355469,0.37018576,22.63327048054162,-0.014361104434738715,0.06936992459396751,0.15535773,-7.337721824645996,-1.2182728052139282,1.1902496814727783,1.0003018379211426,-4.865172863006592,-9.73229694366455,-10.265192031860352,-13.897653579711914,-17.98301124572754,-20.983890533447266,-21.990873336791992,-23.483739852905273,-25.333934783935547,-25.085908889770508,-28.857425689697266,-33.626407623291016,-33.062740325927734,-34.22548294067383,-40.50072479248047,-43.37861633300781,-45.48115921020508,-46.685386657714844,-47.99580383300781,-48.319725036621094,-48.46917724609375,-48.568321228027344,-48.621055603027344,-48.70454406738281,-48.707244873046875,-48.739376068115234,0.44435886949459613
Arunanshu,-307.357666015625,180.94264221191406,4.801169395446777,-9.351919174194336,14.165817260742188,-9.479437828063965,-18.818653106689453,-14.512398719787598,-20.3116455078125,-18.317794799804688,-10.845870018005371,-13.821146011352539,-19.78391456604004,0.36446354,23.807385327613098,0.002743207614704379,0.047977314747679814,0.13411568,-2.746480941772461,4.113656997680664,6.739972114562988,5.211314678192139,-2.3975753784179688,-7.730104923248291,-8.44237232208252,-11.377883911132812,-15.785826683044434,-16.970008850097656,-14.729377746582031,-15.891533851623535,-19.44040870666504,-18.848388671875,-22.846200942993164,-27.384878158569336,-25.961240768432617,-28.380460739135742,-35.936744689941406,-41.53783416748047,-45.760440826416016,-47.65160369873047,-49.62141036987305,-50.52656555175781,-50.53116989135742,-50.535499572753906,-50.53947448730469,-50.54297637939453,-50.545833587646484,-50.54779815673828,0.5200986400421906
Arunanshu,-307.25701904296875,177.37734985351562,12.25943374633789,-16.7352237701416,2.6086173057556152,-8.634037971496582,-18.791702270507812,-16.641483306884766,-16.632814407348633,-14.352173805236816,-11.784279823303223,-13.938089370727539,-14.257150650024414,0.35435492,22.797022510426157,0.009312538241665882,0.06639152225928074,0.17270224,-5.048220157623291,2.006824493408203,4.638828277587891,4.02791166305542,-1.8197906017303467,-6.345933437347412,-7.271028995513916,-10.400588035583496,-14.739330291748047,-15.559659004211426,-15.42704963684082,-17.840835571289062,-21.420564651489258,-20.380470275878906,-24.040361404418945,-29.98379898071289,-30.69214630126953,-32.71611785888672,-39.10822296142578,-42.798072814941406,-46.30355453491211,-47.76543426513672,-49.19447326660156,-49.57651901245117,-49.76244354248047,-49.84281539916992,-49.99110794067383,-50.11071014404297,-50.152854919433594,-50.24288558959961,0.4365290826194694
Arunanshu,-329.61285400390625,123.72724151611328,12.020027160644531,-8.24668025970459,2.2226150035858154,-9.265107154846191,-15.058244705200195,-10.577144622802734,-10.85916519165039,-11.452092170715332,-9.777020454406738,-10.144777297973633,-10.202424049377441,0.39829782,21.247894994392357,-0.0028045607748997795,0.132830626450116,0.12861368,-14.125872611999512,-9.275199890136719,-6.741086959838867,-6.553980350494385,-12.534334182739258,-14.72752857208252,-15.286991119384766,-18.655546188354492,-22.28321075439453,-22.864503860473633,-22.923856735229492,-25.481674194335938,-27.697702407836914,-27.09835433959961,-28.975492477416992,-32.35071563720703,-32.98479461669922,-35.352027893066406,-39.897586822509766,-42.552223205566406,-45.015953063964844,-46.379669189453125,-47.4684944152832,-47.714271545410156,-47.831687927246094,-47.96961975097656,-48.07209777832031,-48.14872741699219,-48.20327377319336,-48.22286605834961,0.4777508708090949
Arunanshu,-324.2290954589844,131.39967346191406,10.060938835144043,-7.48255729675293,11.214146614074707,-4.411509990692139,-19.536882400512695,-15.918972969055176,-14.213785171508789,-13.106236457824707,-8.690705299377441,-10.896188735961914,-15.064640045166016,0.39829522,21.825356944238177,0.001525872118287087,0.10208136963457076,0.12891074,-10.574676513671875,-4.641546249389648,-3.250222682952881,-4.499807834625244,-10.196871757507324,-14.317133903503418,-15.238885879516602,-19.3870849609375,-22.875141143798828,-23.040103912353516,-22.703872680664062,-22.54043960571289,-22.928226470947266,-23.5723934173584,-26.876495361328125,-30.521669387817383,-31.25545883178711,-32.98393249511719,-38.7586555480957,-43.37346267700195,-46.34245300292969,-47.116554260253906,-47.7430305480957,-47.91929244995117,-48.040340423583984,-48.10313034057617,-48.14432144165039,-48.183876037597656,-48.20811080932617,-48.23194122314453,0.48378772523392116
Arunanshu,-332.27679443359375,109.9912338256836,9.581290245056152,-6.342188358306885,2.8395495414733887,-8.694299697875977,-15.851778030395508,-11.439482688903809,-10.823445320129395,-10.544724464416504,-6.573737144470215,-6.557267189025879,-9.587328910827637,0.43718523,20.823056828978697,-0.0034430492654807373,0.21975715088457076,0.122968175,-16.460824966430664,-12.105452537536621,-10.183249473571777,-9.842691421508789,-14.5130033493042,-16.198745727539062,-17.563718795776367,-21.525344848632812,-24.957021713256836,-24.588977813720703,-24.823524475097656,-26.65165901184082,-27.517311096191406,-27.106260299682617,-30.00981330871582,-32.06097412109375,-31.93292236328125,-34.49336624145508,-38.724552154541016,-42.2712516784668,-44.28822708129883,-45.01250457763672,-45.83295440673828,-46.15079879760742,-46.30904769897461,-46.457794189453125,-46.58799362182617,-46.66110610961914,-46.772422790527344,-46.826114654541016,0.48277085616630655
Arunanshu,-263.6297912597656,191.0688018798828,19.249099731445312,-14.354301452636719,5.2606024742126465,-10.999994277954102,-27.121360778808594,-18.794544219970703,-14.008885383605957,-17.488075256347656,-15.032092094421387,-12.590847969055176,-15.650997161865234,0.33636805,23.483686677495076,-0.0032188225900336358,0.03168163609338747,0.22153804,2.388214349746704,10.506094932556152,12.788326263427734,11.842000961303711,5.515225887298584,1.4412871599197388,-1.7869503498077393,-5.567326068878174,-9.256669998168945,-12.087757110595703,-13.25382137298584,-15.731748580932617,-15.99006462097168,-16.08136558532715,-20.919677734375,-24.476150512695312,-24.93060302734375,-29.91098403930664,-38.63857650756836,-42.615074157714844,-44.927268981933594,-46.00482177734375,-46.8851318359375,-47.30420684814453,-47.52468490600586,-47.62425231933594,-47.83082580566406,-48.019065856933594,-48.1346435546875,-48.21276092529297,0.377871984335106
Arunanshu,-299.5006103515625,152.6779327392578,22.410736083984375,-6.764411449432373,-1.992104172706604,-12.1356782913208,-14.850361824035645,-16.062232971191406,-20.90257453918457,-16.232999801635742,-9.476151466369629,-10.40227222442627,-12.467093467712402,0.37147,22.666697559817287,0.0025287325637553203,0.05123327834976798,0.15920493,-5.862464427947998,0.30394798517227173,3.498518943786621,3.433544397354126,-1.966342806816101,-6.96906852722168,-9.80171012878418,-13.640568733215332,-15.870026588439941,-17.718053817749023,-17.480533599853516,-19.76781463623047,-22.615886688232422,-24.530500411987305,-28.64919662475586,-31.330045700073242,-30.66058921813965,-32.78512954711914,-37.75962448120117,-40.62430953979492,-43.6242561340332,-45.200626373291016,-46.92520523071289,-47.524505615234375,-47.66254806518555,-47.79701614379883,-47.849342346191406,-47.93288803100586,-47.9840087890625,-48.02256774902344,0.4495878684621723
Arunanshu,-304.4054870605469,154.07257080078125,10.948346138000488,-8.601426124572754,5.050325870513916,-11.65160083770752,-19.18111228942871,-14.014595985412598,-15.429465293884277,-16.001787185668945,-11.645811080932617,-10.225987434387207,-12.863638877868652,0.40272355,22.144837175871302,0.0013105007919731414,0.08851825333526682,0.17036039,-7.122697830200195,-0.956535279750824,1.9282469749450684,0.7706433534622192,-4.225891590118408,-8.382664680480957,-11.595172882080078,-13.638810157775879,-15.978816986083984,-18.67877960205078,-18.79543113708496,-20.405759811401367,-21.611255645751953,-22.955305099487305,-26.98384666442871,-27.819107055664062,-27.89687728881836,-31.620445251464844,-38.20367431640625,-41.33890914916992,-43.761138916015625,-45.63893127441406,-47.537757873535156,-48.04159927368164,-48.12569808959961,-48.34356689453125,-48.590415954589844,-48.65760040283203,-48.75699996948242,-48.8082389831543,0.4136799669468778
Arunanshu,-346.93096923828125,121.32252502441406,2.015758752822876,-9.812119483947754,2.233865261077881,-13.200774192810059,-16.12653923034668,-9.40570068359375,-12.338699340820312,-13.03862476348877,-9.138927459716797,-9.874506950378418,-11.43146800994873,0.40611413,20.814472050915633,-0.009709456427955917,0.17923887035962877,0.1195117,-18.440471649169922,-13.603507995605469,-9.74682331085205,-9.997088432312012,-14.562971115112305,-17.245595932006836,-18.406747817993164,-20.081382751464844,-22.039234161376953,-24.065006256103516,-25.308807373046875,-26.498247146606445,-28.34947967529297,-27.510513305664062,-29.980669021606445,-32.31999588012695,-31.949350357055664,-33.33698272705078,-39.10751724243164,-43.284400939941406,-45.79896926879883,-47.142173767089844,-48.911624908447266,-49.495182037353516,-49.5649299621582,-49.62097930908203,-49.72251892089844,-49.751014709472656,-49.80398941040039,-49.84772872924805,0.4832756744628622
